  																																			
	1992	1992	1992	1992	1992	1992	1996	1996	1996	1996	1996	1996	2000	2000	2000	2000	2000	2000	2004	2004	2004	2004	2004	2004	2008	2008	2008	2008	2008	2008	2012	2012	2012	2012	2012	2012
State	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection	State and Local Spending	Actual / Interpolated between actual reported values / Guesstimated Projection
Kentucky	416	a	664.5	a	1080.6	a	486.9	a	900.6	a	1387.5	a	601.5	a	985.7	a	1587.2	a	770.5	a	1120.1	a	1890.7	a	1125.7	a	1395	a	2520.7	a	1241.4	g	1548.2	g	2789.6	g
Louisiana	354.9	a	772.1	a	1127	a	438.9	a	873	a	1311.9	a	552.8	a	1076.1	a	1628.9	a	665.7	a	1282.8	a	1948.5	a	1052.4	a	1589.1	a	2641.5	a	968.5	g	1958.6	g	2927.1	g
Maine	343.3	a	976.5	a	1319.9	a	395.1	a	1042.9	a	1438	a	448.3	a	1316.9	a	1765.2	a	621.7	a	1588.7	a	2210.4	a	705.1	a	1729.3	a	2434.4	a	788.3	g	1834.5	g	2622.8	g
Maryland	351.6	a	955.4	a	1307	a	378.4	a	1165.6	a	1544	a	501.1	a	1428.7	a	1929.8	a	638.9	a	1652.7	a	2291.6	a	787.5	a	2271.2	a	3058.8	a	829.2	g	2284.3	g	3113.5	g
Massachusetts	252.6	a	826.7	a	1079.3	a	319.9	a	1002.8	a	1322.7	a	430.4	a	1404.1	a	1834.5	a	658.6	a	1643.3	a	2301.9	a	731.8	a	1956.1	a	2687.9	a	928.5	g	2472.9	g	3401.3	g
Michigan	379.9	a	1053.9	a	1433.8	a	506.2	a	1292.3	a	1798.5	a	632.2	a	1656	a	2288.2	a	770.4	a	1949.7	a	2720.1	a	884.6	a	1992.4	a	2877	a	940.7	g	1601.1	g	2541.8	g
Minnesota	405.6	a	1082.6	a	1488.2	a	472.8	a	1312.8	a	1785.6	a	632.2	a	1482.2	a	2114.5	a	726.9	a	1662.4	a	2389.3	a	968.9	a	1892.4	a	2861.4	a	1001.9	g	1914.4	g	2916.3	g
Mississippi	286.1	a	735.5	a	1021.7	a	374.7	a	979.5	a	1354.1	a	516.9	a	1190	a	1707	a	600.4	a	1361.2	a	1961.6	a	752.1	a	1697.8	a	2449.9	a	735.5	g	1750.5	g	2485.9	g
Missouri	237.5	a	839.6	a	1077.1	a	303.6	a	1033.6	a	1337.3	a	407.3	a	1259.3	a	1666.6	a	449.2	a	1468	a	1917.2	a	622.4	a	1798.8	a	2421.2	a	606.7	g	1813.8	g	2420.5	g
Montana	384.5	a	948.4	a	1333	a	561.7	a	1162.4	a	1724.1	a	650.9	a	1183.5	a	1834.4	a	746.8	a	1364.5	a	2111.3	a	999.9	a	1638.3	a	2638.2	a	958.9	g	1713.7	g	2672.6	g
Nebraska	397.8	a	1019.1	a	1417	a	473.4	a	1251.4	a	1724.8	a	589.6	a	1336.2	a	1925.8	a	708.7	a	1626.5	a	2335.3	a	896.1	a	1965.2	a	2861.3	a	974.3	g	2225.2	g	3199.5	g
Nevada	318.3	a	918.4	a	1236.7	a	324.6	a	951.3	a	1275.8	a	355.6	a	1165.9	a	1521.5	a	473.8	a	1351.9	a	1825.7	a	625.3	a	1864	a	2489.4	a	558.9	g	1476.7	g	2035.6	g
New Hampshire	282.6	a	885.9	a	1168.5	a	350.7	a	1041.5	a	1392.2	a	431.1	a	1248.1	a	1679.2	a	539.8	a	1612.5	a	2152.2	a	706.4	a	1919.6	a	2626	a	767.3	g	1956.4	g	2723.6	g
New Jersey	314.7	a	1188.4	a	1503.1	a	368.3	a	1451.2	a	1819.5	a	531.6	a	1726.3	a	2257.9	a	708.9	a	2194.1	a	2903.1	a	962	a	2562.9	a	3524.9	a	896	g	2365.5	g	3261.5	g
New Mexico	487.3	a	895.9	a	1383.2	a	582.5	a	974.5	a	1556.9	a	757.1	a	1289.8	a	2046.8	a	840	a	1639.9	a	2479.9	a	1190.3	a	1957	a	3147.3	a	1153.5	g	2023.1	g	3176.7	g
New York	280.6	a	1304.4	a	1585	a	308.3	a	1499.3	a	1807.6	a	329.1	a	1850	a	2179.1	a	443.4	a	2274.8	a	2718.2	a	562.8	a	2831.8	a	3394.6	a	695.5	g	3114.7	g	3810.2	g
North Carolina	332.1	a	883.7	a	1215.8	a	429.6	a	960.8	a	1390.4	a	521.6	a	1251.8	a	1773.3	a	710.1	a	1333.4	a	2043.5	a	778	a	1640.8	a	2418.8	a	923.7	g	1352.3	g	2276	g
North Dakota	648.5	a	805.4	a	1454	a	653.9	a	949.8	a	1603.7	a	801.1	a	1169.3	a	1970.4	a	999.8	a	1414.1	a	2413.9	a	1265	a	1573.9	a	2838.9	a	1621.5	g	1931.7	g	3553.2	g
Ohio	352.9	a	896.2	a	1249.1	a	398.4	a	1120	a	1518.4	a	504.1	a	1343.3	a	1847.5	a	637.7	a	1714.2	a	2352	a	799.2	a	1923.6	a	2722.8	a	921.5	g	2007.5	g	2929.1	g
Oklahoma	389.8	a	784.6	a	1174.4	a	433.3	a	943.6	a	1376.9	a	592.9	a	1115.7	a	1708.6	a	743	a	1246.8	a	1989.9	a	977.1	a	1550.8	a	2527.9	a	986.4	g	1993	g	2979.4	g
