Gross Domestic Product by State (millions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All industry total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fips,Area,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
16000,Idaho,1841,1946,2197,2273,2335,2497,2750,3015,3265,3773,4481,5186,5835,6591,7206,8450,9286,9916,10677,10689,11834,12586,13044,13220,13996,15285,16909,18004,18852,20632,23100,25455,27762,28915,30312,31784.3523330737,35158.3142391843,38790.9036323727,39036.6534022516,40488.6160164271,42366.616441266,47292.3432698435,52243.8255328188,54203.3848332507,58242.6954613043,59176.3299582242,57609.5410323586,60136.7930326418,62163.9603483679,60500
17000,Illinois,39514,42478,45978,50435,52817,56331,60840,62763,67379,73501,81286,88070,95880,104819,115077,128122,139253,145264,159649,164267,173119,194244,206281,218696,231210,252197,266608,279019,288473,306236,320079,347971,364451,383504,408048,427639.08046157,448700.839830484,473772.270952209,486256.567664647,497017.584136709,517751.860354497,544731.280201227,567218.789386629,599721.492135887,625623.612226322,630966.180341186,622146.10059409,645774.808687227,669670.096052773,702000
18000,Indiana,15636,16723,18518,20049,20951,22646,24212,24546,26882,29954,33972,35606,37677,43775,47901,53729,57917,58870,64724,64982,69335,78859,82011,86437,91650,99492,107199,110860,114637,124714,132108,143335,150404,158350,167366,179092.603431058,186820.800211618,197222.228808522,198971.220819364,207604.754761395,219099.552084076,230574.451886725,238094.719582947,247356.020281998,260413.767803219,259633.785017952,249278.120717122,265907.473084148,276702.872577692,291700
19000,Iowa,7921,8350,9196,10202,10617,11273,12332,12957,13666,15311,18502,19341,21993,24436,27011,30763,33496,34582,38272,37289,37481,41264,42431,43226,45283,49088,52907,56121,57944,61870,63386,70161,73137,78819,83113,85136.4548098899,88715.0849781841,94785.4494078537,95587.9239559526,100140.697278205,106244.582796593,117406.089549138,121892.836484521,126015.930396842,136169.772906711,136024.514855599,135236.261375442,143170.601495948,151338.573446915,157800
20000,Kansas,6135,6418,6831,7401,7760,8487,9166,9755,10824,12127,14000,15063,16855,18953,20539,22824,26300,28298,31978,33491,35257,38442,40658,41795,44164,46698,48814,51874,53981,56902,58953,63304,65282,69616,74147,78148.2093064402,81745.7657194186,86504.8333333333,90178.0746638358,92508.1609913441,97467.0367875225,100643.785059067,105826.688211117,112677.686945397,121700.338246502,125465.410610267,122699.37915782,127225.337225761,132118.619426752,137100
21000,Kentucky,8355,8774,9518,10378,11041,12212,13206,13943,15568,16915,18903,21173,22810,26040,29176,32683,35838,37017,41068,42184,44092,49344,51893,53199,56282,61851,65525,68412,71679,77531,81618,87646,91915,96617,103621,108181.570068343,113756.824406229,113421.267416795,116566.488153583,121637.90617599,125601.485301936,131919.973329853,139002.729963557,146652.427660006,150737.207967211,153825.333932662,152246.713588338,159614.944078725,165073.003885973,172200
22000,Louisiana,9659,10468,11453,12774,14022,15076,16321,17177,18634,20294,22735,26892,30675,34413,39670,45212,51653,63925,77201,78067,76881,82623,84391,77107,78488,83196,87574,95177,96043,90890,95866,105119,112876,118807,126003,131122.907949791,135438.414225941,142714.988284519,149805.680334728,151316.651046025,169575.482008368,186383.128870293,214054.546443515,222229.006694561,225354.215899582,232591.656903766,219951.680334728,252619.084518828,269278.89539749,263800
23000,Maine,2420,2604,2807,3001,3154,3406,3695,3959,4207,4625,5203,5603,5996,6968,7647,8449,9335,10263,11255,12115,13239,14897,16046,17382,19166,21371,22670,23256,23379,24329,25202,26543,28153,29256,30775,32529.981561965,34614.2754839984,36921.4885420782,38666.3374160411,40519.6060516265,42060.787896747,44940.4978269459,46123.995785592,48225.515277229,49716.033682339,50156.8056104307,50825.5630185697,51346.3831818781,52269.47105887,53400
24000,Maryland,10261,11171,12263,13563,14319,15852,17385,18720,20501,22644,25112,27381,29597,32612,35555,39526,43628,47522,53117,56339,62205,69920,76878,83744,91380,101280,107444,112835,115428,119535,125515,133311,139070,145023,154783,163775.631520772,174378.898722007,185180.584900848,198017.077941869,209174.096065299,219280.303480797,234825.82297117,250292.379807189,262998.280766011,275341.763388185,284581.406289242,287144.655530557,296969.431947206,304816.092638133,313200
25000,Massachusetts,17415,18625,19997,21837,23275,25226,27476,29052,30989,33807,36912,39313,41910,45498,50719,56883,62965,69684,77833,83777,93054,106425,116613,127155,138900,151625,158200,159505,160728,167435,173527,185710,196409,210630,226880,239141.70055833,254567.710938164,276883.194592831,286551.580980139,292447.136426422,301919.781853618,314748.421254968,327905.662060857,342275.888298324,357382.42509041,366853.042113874,365694.823583054,383212.118210306,397334.879192501,410000
26000,Michigan,30466,32575,37000,39260,40025,44727,47894,46178,51704,56579,62907,63034,67046,78770,89326,99335,105413,104134,114676,115166,127754,143678,153605,163458,169237,180621,190626,193103,197717,212057,226368,251484,256615,270320,286408,298929.845179248,317679.231833483,331316.39896064,331297.744808342,345427.774275156,356050.82310999,358953.998286016,368913.352018045,369360.069875702,379554.073207687,362246.947065316,344460.70374814,361665.722951618,378235.519179482,405300
27000,Minnesota,10745,11353,12480,13747,14616,16149,17681,18699,20035,21925,26001,27689,29683,32840,36830,41641,46861,50219,55404,57472,61950,71369,75832,79450,85365,91896,98313,102757,106102,114518,117947,128167,135124,145880,156650,167119.379603289,177086.147591027,192109.554706883,197379.854643233,205072.661171947,216210.493875271,231049.745723082,241958.656131873,249297.396178377,257790.922021745,266674.124482029,261967.482106439,275512.559915826,286622.921943806,295400
28000,Mississippi,4425,4524,4925,5319,5652,6267,6801,7253,7923,9183,10557,11281,12292,14552,15957,17758,20011,21353,24023,24614,25967,28744,30138,30996,33531,35534,37208,38757,40862,44012,47340,51602,54984,57460,59875,62733.5203940785,65821.3835881155,67795.5912039753,69806.9895441527,71826.6524897339,76284.3740294696,80103.654801753,84051.036957797,88693.6790434452,95153.5012422789,98618.4370578695,95215.4857828082,98638.0654957038,101045.131819594,101600
29000,Missouri,13613,14454,15625,16843,17843,19711,21095,22230,24245,26414,29275,30468,33001,37211,41150,46176,50601,52420,57763,60699,65538,74539,77912,83330,88912,95760,101412,103566,109162,115288,118906,130567,140060,148257,158308,165604.128871643,173542.703154472,181942.752310125,186331.287865413,193225.259985139,200998.949999682,209498.532951435,217502.457706451,224927.276738707,234215.086924215,242707.632132809,238643.838154694,244698.308054795,250870.408804832,259400
